Feature,Importancia
S21,0.5826259379585952
S34,0.1367853490037001
S45,0.039213863285446245
S6,0.03664455276854933
S12,0.027766478476387125
S35,0.02730583797963876
S62,0.01918041593473214
S28,0.0106956483776863
S53,0.009859050091963346
S2,0.008681578806517229
S26,0.008348656745337945
S19,0.007553189711759121
S5,0.007282295099664116
S52,0.00721715789238522
S24,0.006406695689167489
S20,0.0061411077239715405
S32,0.004664581334553925
S48,0.00436868867044675
S55,0.003727809832295707
S59,0.003420729532864983
S4,0.0030115969016190226
S41,0.0028660926570204487
S39,0.0028097114939090117
S49,0.002773249866803517
S15,0.002755179754333948
S47,0.002378053220662324
S51,0.0023491821714554228
S10,0.002282764275448874
S31,0.0021348764871385335
S17,0.0020297083508211155
S33,0.001970708819296369
S29,0.0018637000317971815
S14,0.0017435096176909549
S46,0.0017326629748162525
S37,0.00169424497720597
S36,0.0014851820098032613
S42,0.0014653133419734894
S27,0.0013213685814985284
S13,0.0011893058784448551
S30,0.0009661398607597756
S25,0.00040977076485102534
S22,0.0003074467555288848
S54,0.00020636702594279587
S50,0.00019499941753022904
S60,0.00016923984798551995
S3,0.0
S23,0.0
S16,0.0
S18,0.0
S1,0.0
S9,0.0
S8,0.0
S7,0.0
S11,0.0
S43,0.0
S44,0.0
S40,0.0
S38,0.0
S58,0.0
S57,0.0
S56,0.0
S61,0.0
